2014-10-15 07:57:06 startup archives install
2014-10-15 07:57:21 install libgpg-error0:amd64 <none> 1.10-3.1
2014-10-15 07:57:21 status half-installed libgpg-error0:amd64 1.10-3.1
2014-10-15 07:57:21 status unpacked libgpg-error0:amd64 1.10-3.1
2014-10-15 07:57:21 status unpacked libgpg-error0:amd64 1.10-3.1
2014-10-15 07:57:21 install libidn11:amd64 <none> 1.25-2
2014-10-15 07:57:21 status half-installed libidn11:amd64 1.25-2
2014-10-15 07:57:21 status unpacked libidn11:amd64 1.25-2
2014-10-15 07:57:21 status unpacked libidn11:amd64 1.25-2
2014-10-15 07:57:21 install libnfnetlink0:amd64 <none> 1.0.0-1.1
2014-10-15 07:57:21 status half-installed libnfnetlink0:amd64 1.0.0-1.1
2014-10-15 07:57:21 status unpacked libnfnetlink0:amd64 1.0.0-1.1
2014-10-15 07:57:21 status unpacked libnfnetlink0:amd64 1.0.0-1.1
2014-10-15 07:57:21 install libpipeline1:amd64 <none> 1.2.1-1
2014-10-15 07:57:21 status half-installed libpipeline1:amd64 1.2.1-1
2014-10-15 07:57:21 status unpacked libpipeline1:amd64 1.2.1-1
2014-10-15 07:57:21 status unpacked libpipeline1:amd64 1.2.1-1
2014-10-15 07:57:21 install libsigc++-2.0-0c2a:amd64 <none> 2.2.10-0.2
2014-10-15 07:57:21 status half-installed libsigc++-2.0-0c2a:amd64 2.2.10-0.2
2014-10-15 07:57:21 status unpacked libsigc++-2.0-0c2a:amd64 2.2.10-0.2
2014-10-15 07:57:21 status unpacked libsigc++-2.0-0c2a:amd64 2.2.10-0.2
2014-10-15 07:57:21 install libtasn1-3:amd64 <none> 2.13-2
2014-10-15 07:57:21 status half-installed libtasn1-3:amd64 2.13-2
2014-10-15 07:57:21 status unpacked libtasn1-3:amd64 2.13-2
2014-10-15 07:57:21 status unpacked libtasn1-3:amd64 2.13-2
2014-10-15 07:57:21 install libusb-0.1-4:amd64 <none> 2:0.1.12-20+nmu1
2014-10-15 07:57:21 status half-installed libusb-0.1-4:amd64 2:0.1.12-20+nmu1
2014-10-15 07:57:21 status unpacked libusb-0.1-4:amd64 2:0.1.12-20+nmu1
2014-10-15 07:57:21 status unpacked libusb-0.1-4:amd64 2:0.1.12-20+nmu1
2014-10-15 07:57:21 install logrotate:amd64 <none> 3.8.1-4
2014-10-15 07:57:21 status half-installed logrotate:amd64 3.8.1-4
2014-10-15 07:57:21 status unpacked logrotate:amd64 3.8.1-4
2014-10-15 07:57:21 status unpacked logrotate:amd64 3.8.1-4
2014-10-15 07:57:21 install libncursesw5:amd64 <none> 5.9-10
2014-10-15 07:57:21 status half-installed libncursesw5:amd64 5.9-10
2014-10-15 07:57:21 status unpacked libncursesw5:amd64 5.9-10
2014-10-15 07:57:21 status unpacked libncursesw5:amd64 5.9-10
2014-10-15 07:57:21 install libnewt0.52:amd64 <none> 0.52.14-11.1
2014-10-15 07:57:21 status half-installed libnewt0.52:amd64 0.52.14-11.1
2014-10-15 07:57:22 status unpacked libnewt0.52:amd64 0.52.14-11.1
2014-10-15 07:57:22 status unpacked libnewt0.52:amd64 0.52.14-11.1
2014-10-15 07:57:22 install libssl1.0.0:amd64 <none> 1.0.1e-2+deb7u11
2014-10-15 07:57:22 status half-installed libssl1.0.0:amd64 1.0.1e-2+deb7u11
2014-10-15 07:57:22 status unpacked libssl1.0.0:amd64 1.0.1e-2+deb7u11
2014-10-15 07:57:22 status unpacked libssl1.0.0:amd64 1.0.1e-2+deb7u11
2014-10-15 07:57:22 install libp11-kit0:amd64 <none> 0.12-3
2014-10-15 07:57:22 status half-installed libp11-kit0:amd64 0.12-3
2014-10-15 07:57:22 status unpacked libp11-kit0:amd64 0.12-3
2014-10-15 07:57:22 status unpacked libp11-kit0:amd64 0.12-3
2014-10-15 07:57:22 install libpopt0:amd64 <none> 1.16-7
2014-10-15 07:57:22 status half-installed libpopt0:amd64 1.16-7
2014-10-15 07:57:22 status unpacked libpopt0:amd64 1.16-7
2014-10-15 07:57:22 status unpacked libpopt0:amd64 1.16-7
2014-10-15 07:57:22 install libprocps0:amd64 <none> 1:3.3.3-3
2014-10-15 07:57:22 status half-installed libprocps0:amd64 1:3.3.3-3
2014-10-15 07:57:22 status unpacked libprocps0:amd64 1:3.3.3-3
2014-10-15 07:57:22 status unpacked libprocps0:amd64 1:3.3.3-3
2014-10-15 07:57:22 install libreadline6:amd64 <none> 6.2+dfsg-0.1
2014-10-15 07:57:22 status half-installed libreadline6:amd64 6.2+dfsg-0.1
2014-10-15 07:57:22 status unpacked libreadline6:amd64 6.2+dfsg-0.1
2014-10-15 07:57:22 status unpacked libreadline6:amd64 6.2+dfsg-0.1
2014-10-15 07:57:22 install libsqlite3-0:amd64 <none> 3.7.13-1+deb7u1
2014-10-15 07:57:22 status half-installed libsqlite3-0:amd64 3.7.13-1+deb7u1
2014-10-15 07:57:22 status unpacked libsqlite3-0:amd64 3.7.13-1+deb7u1
2014-10-15 07:57:22 status unpacked libsqlite3-0:amd64 3.7.13-1+deb7u1
2014-10-15 07:57:22 install info:amd64 <none> 4.13a.dfsg.1-10
2014-10-15 07:57:22 status half-installed info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:22 status unpacked info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:22 status unpacked info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:22 install install-info:amd64 <none> 4.13a.dfsg.1-10
2014-10-15 07:57:22 status half-installed install-info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:22 status unpacked install-info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:22 status unpacked install-info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:22 install libudev0:amd64 <none> 175-7.2
2014-10-15 07:57:22 status half-installed libudev0:amd64 175-7.2
2014-10-15 07:57:22 status unpacked libudev0:amd64 175-7.2
2014-10-15 07:57:22 status unpacked libudev0:amd64 175-7.2
2014-10-15 07:57:22 install libxapian22:amd64 <none> 1.2.12-2
2014-10-15 07:57:22 status half-installed libxapian22:amd64 1.2.12-2
2014-10-15 07:57:22 status unpacked libxapian22:amd64 1.2.12-2
2014-10-15 07:57:22 status unpacked libxapian22:amd64 1.2.12-2
2014-10-15 07:57:22 install man-db:amd64 <none> 2.6.2-1
2014-10-15 07:57:22 status half-installed man-db:amd64 2.6.2-1
2014-10-15 07:57:22 status unpacked man-db:amd64 2.6.2-1
2014-10-15 07:57:22 status unpacked man-db:amd64 2.6.2-1
2014-10-15 07:57:22 install manpages:all <none> 3.44-1
2014-10-15 07:57:22 status half-installed manpages:all 3.44-1
2014-10-15 07:57:22 status unpacked manpages:all 3.44-1
2014-10-15 07:57:22 status unpacked manpages:all 3.44-1
2014-10-15 07:57:22 install nano:amd64 <none> 2.2.6-1+b1
2014-10-15 07:57:22 status half-installed nano:amd64 2.2.6-1+b1
2014-10-15 07:57:22 status unpacked nano:amd64 2.2.6-1+b1
2014-10-15 07:57:22 status unpacked nano:amd64 2.2.6-1+b1
2014-10-15 07:57:22 install net-tools:amd64 <none> 1.60-24.2
2014-10-15 07:57:22 status half-installed net-tools:amd64 1.60-24.2
2014-10-15 07:57:22 status unpacked net-tools:amd64 1.60-24.2
2014-10-15 07:57:22 status unpacked net-tools:amd64 1.60-24.2
2014-10-15 07:57:22 install netbase:all <none> 5.0
2014-10-15 07:57:22 status half-installed netbase:all 5.0
2014-10-15 07:57:22 status unpacked netbase:all 5.0
2014-10-15 07:57:22 status unpacked netbase:all 5.0
2014-10-15 07:57:22 install netcat-traditional:amd64 <none> 1.10-40
2014-10-15 07:57:22 status half-installed netcat-traditional:amd64 1.10-40
2014-10-15 07:57:22 status unpacked netcat-traditional:amd64 1.10-40
2014-10-15 07:57:22 status unpacked netcat-traditional:amd64 1.10-40
2014-10-15 07:57:22 install whiptail:amd64 <none> 0.52.14-11.1
2014-10-15 07:57:22 status half-installed whiptail:amd64 0.52.14-11.1
2014-10-15 07:57:22 status unpacked whiptail:amd64 0.52.14-11.1
2014-10-15 07:57:22 status unpacked whiptail:amd64 0.52.14-11.1
2014-10-15 07:57:22 install procps:amd64 <none> 1:3.3.3-3
2014-10-15 07:57:22 status half-installed procps:amd64 1:3.3.3-3
2014-10-15 07:57:23 status unpacked procps:amd64 1:3.3.3-3
2014-10-15 07:57:23 status unpacked procps:amd64 1:3.3.3-3
2014-10-15 07:57:23 install readline-common:all <none> 6.2+dfsg-0.1
2014-10-15 07:57:23 status half-installed readline-common:all 6.2+dfsg-0.1
2014-10-15 07:57:23 status unpacked readline-common:all 6.2+dfsg-0.1
2014-10-15 07:57:23 status unpacked readline-common:all 6.2+dfsg-0.1
2014-10-15 07:57:23 install rsyslog:amd64 <none> 5.8.11-3
2014-10-15 07:57:23 status half-installed rsyslog:amd64 5.8.11-3
2014-10-15 07:57:23 status unpacked rsyslog:amd64 5.8.11-3
2014-10-15 07:57:23 status unpacked rsyslog:amd64 5.8.11-3
2014-10-15 07:57:23 install tasksel:all <none> 3.14.1
2014-10-15 07:57:23 status half-installed tasksel:all 3.14.1
2014-10-15 07:57:23 status unpacked tasksel:all 3.14.1
2014-10-15 07:57:23 status unpacked tasksel:all 3.14.1
2014-10-15 07:57:23 install tasksel-data:all <none> 3.14.1
2014-10-15 07:57:23 status half-installed tasksel-data:all 3.14.1
2014-10-15 07:57:23 status unpacked tasksel-data:all 3.14.1
2014-10-15 07:57:23 status unpacked tasksel-data:all 3.14.1
2014-10-15 07:57:23 install traceroute:amd64 <none> 1:2.0.18-3
2014-10-15 07:57:23 status half-installed traceroute:amd64 1:2.0.18-3
2014-10-15 07:57:23 status unpacked traceroute:amd64 1:2.0.18-3
2014-10-15 07:57:23 status unpacked traceroute:amd64 1:2.0.18-3
2014-10-15 07:57:23 install udev:amd64 <none> 175-7.2
2014-10-15 07:57:23 status half-installed udev:amd64 175-7.2
2014-10-15 07:57:23 status unpacked udev:amd64 175-7.2
2014-10-15 07:57:23 status unpacked udev:amd64 175-7.2
2014-10-15 07:57:23 install vim-common:amd64 <none> 2:7.3.547-7
2014-10-15 07:57:23 status half-installed vim-common:amd64 2:7.3.547-7
2014-10-15 07:57:23 status unpacked vim-common:amd64 2:7.3.547-7
2014-10-15 07:57:23 status unpacked vim-common:amd64 2:7.3.547-7
2014-10-15 07:57:23 install vim-tiny:amd64 <none> 2:7.3.547-7
2014-10-15 07:57:23 status half-installed vim-tiny:amd64 2:7.3.547-7
2014-10-15 07:57:23 status unpacked vim-tiny:amd64 2:7.3.547-7
2014-10-15 07:57:23 status unpacked vim-tiny:amd64 2:7.3.547-7
2014-10-15 07:57:23 install wget:amd64 <none> 1.13.4-3+deb7u1
2014-10-15 07:57:23 status half-installed wget:amd64 1.13.4-3+deb7u1
2014-10-15 07:57:23 status unpacked wget:amd64 1.13.4-3+deb7u1
2014-10-15 07:57:23 status unpacked wget:amd64 1.13.4-3+deb7u1
2014-10-15 07:57:23 startup packages configure
2014-10-15 07:57:23 configure gpgv:amd64 1.4.12-7+deb7u4 <none>
2014-10-15 07:57:23 status unpacked gpgv:amd64 1.4.12-7+deb7u4
2014-10-15 07:57:23 status half-configured gpgv:amd64 1.4.12-7+deb7u4
2014-10-15 07:57:23 status installed gpgv:amd64 1.4.12-7+deb7u4
2014-10-15 07:57:23 configure libssl1.0.0:amd64 1.0.1e-2+deb7u11 <none>
2014-10-15 07:57:23 status unpacked libssl1.0.0:amd64 1.0.1e-2+deb7u11
2014-10-15 07:57:23 status half-configured libssl1.0.0:amd64 1.0.1e-2+deb7u11
2014-10-15 07:57:23 status installed libssl1.0.0:amd64 1.0.1e-2+deb7u11
2014-10-15 07:57:23 configure libgdbm3:amd64 1.8.3-11 <none>
2014-10-15 07:57:23 status unpacked libgdbm3:amd64 1.8.3-11
2014-10-15 07:57:23 status half-configured libgdbm3:amd64 1.8.3-11
2014-10-15 07:57:23 status installed libgdbm3:amd64 1.8.3-11
2014-10-15 07:57:23 configure isc-dhcp-common:amd64 4.2.2.dfsg.1-5+deb70u6 <none>
2014-10-15 07:57:23 status unpacked isc-dhcp-common:amd64 4.2.2.dfsg.1-5+deb70u6
2014-10-15 07:57:23 status half-configured isc-dhcp-common:amd64 4.2.2.dfsg.1-5+deb70u6
2014-10-15 07:57:23 status installed isc-dhcp-common:amd64 4.2.2.dfsg.1-5+deb70u6
2014-10-15 07:57:23 configure libtasn1-3:amd64 2.13-2 <none>
2014-10-15 07:57:23 status unpacked libtasn1-3:amd64 2.13-2
2014-10-15 07:57:23 status half-configured libtasn1-3:amd64 2.13-2
2014-10-15 07:57:23 status installed libtasn1-3:amd64 2.13-2
2014-10-15 07:57:23 configure libpopt0:amd64 1.16-7 <none>
2014-10-15 07:57:23 status unpacked libpopt0:amd64 1.16-7
2014-10-15 07:57:23 status half-configured libpopt0:amd64 1.16-7
2014-10-15 07:57:23 status installed libpopt0:amd64 1.16-7
2014-10-15 07:57:23 configure libusb-0.1-4:amd64 2:0.1.12-20+nmu1 <none>
2014-10-15 07:57:23 status unpacked libusb-0.1-4:amd64 2:0.1.12-20+nmu1
2014-10-15 07:57:23 status half-configured libusb-0.1-4:amd64 2:0.1.12-20+nmu1
2014-10-15 07:57:23 status installed libusb-0.1-4:amd64 2:0.1.12-20+nmu1
2014-10-15 07:57:23 configure libgpg-error0:amd64 1.10-3.1 <none>
2014-10-15 07:57:23 status unpacked libgpg-error0:amd64 1.10-3.1
2014-10-15 07:57:23 status half-configured libgpg-error0:amd64 1.10-3.1
2014-10-15 07:57:23 status installed libgpg-error0:amd64 1.10-3.1
2014-10-15 07:57:23 configure install-info:amd64 4.13a.dfsg.1-10 <none>
2014-10-15 07:57:23 status unpacked install-info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:23 status half-configured install-info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:24 status installed install-info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:24 configure vim-common:amd64 2:7.3.547-7 <none>
2014-10-15 07:57:24 status unpacked vim-common:amd64 2:7.3.547-7
2014-10-15 07:57:24 status unpacked vim-common:amd64 2:7.3.547-7
2014-10-15 07:57:24 status half-configured vim-common:amd64 2:7.3.547-7
2014-10-15 07:57:24 status installed vim-common:amd64 2:7.3.547-7
2014-10-15 07:57:24 configure libprocps0:amd64 1:3.3.3-3 <none>
2014-10-15 07:57:24 status unpacked libprocps0:amd64 1:3.3.3-3
2014-10-15 07:57:24 status half-configured libprocps0:amd64 1:3.3.3-3
2014-10-15 07:57:24 status installed libprocps0:amd64 1:3.3.3-3
2014-10-15 07:57:24 configure netbase:all 5.0 <none>
2014-10-15 07:57:24 status unpacked netbase:all 5.0
2014-10-15 07:57:24 status unpacked netbase:all 5.0
2014-10-15 07:57:24 status unpacked netbase:all 5.0
2014-10-15 07:57:24 status unpacked netbase:all 5.0
2014-10-15 07:57:24 status half-configured netbase:all 5.0
2014-10-15 07:57:24 status installed netbase:all 5.0
2014-10-15 07:57:24 configure dmidecode:amd64 2.11-9 <none>
2014-10-15 07:57:24 status unpacked dmidecode:amd64 2.11-9
2014-10-15 07:57:24 status half-configured dmidecode:amd64 2.11-9
2014-10-15 07:57:24 status installed dmidecode:amd64 2.11-9
2014-10-15 07:57:24 configure libudev0:amd64 175-7.2 <none>
2014-10-15 07:57:24 status unpacked libudev0:amd64 175-7.2
2014-10-15 07:57:24 status half-configured libudev0:amd64 175-7.2
2014-10-15 07:57:24 status installed libudev0:amd64 175-7.2
2014-10-15 07:57:24 configure libkmod2:amd64 9-3 <none>
2014-10-15 07:57:24 status unpacked libkmod2:amd64 9-3
2014-10-15 07:57:24 status half-configured libkmod2:amd64 9-3
2014-10-15 07:57:24 status installed libkmod2:amd64 9-3
2014-10-15 07:57:24 configure adduser:all 3.113+nmu3 <none>
2014-10-15 07:57:24 status unpacked adduser:all 3.113+nmu3
2014-10-15 07:57:24 status unpacked adduser:all 3.113+nmu3
2014-10-15 07:57:24 status half-configured adduser:all 3.113+nmu3
2014-10-15 07:57:24 status installed adduser:all 3.113+nmu3
2014-10-15 07:57:24 configure traceroute:amd64 1:2.0.18-3 <none>
2014-10-15 07:57:24 status unpacked traceroute:amd64 1:2.0.18-3
2014-10-15 07:57:24 status half-configured traceroute:amd64 1:2.0.18-3
2014-10-15 07:57:24 status installed traceroute:amd64 1:2.0.18-3
2014-10-15 07:57:24 configure manpages:all 3.44-1 <none>
2014-10-15 07:57:24 status unpacked manpages:all 3.44-1
2014-10-15 07:57:24 status half-configured manpages:all 3.44-1
2014-10-15 07:57:24 status installed manpages:all 3.44-1
2014-10-15 07:57:24 configure libsqlite3-0:amd64 3.7.13-1+deb7u1 <none>
2014-10-15 07:57:24 status unpacked libsqlite3-0:amd64 3.7.13-1+deb7u1
2014-10-15 07:57:24 status half-configured libsqlite3-0:amd64 3.7.13-1+deb7u1
2014-10-15 07:57:24 status installed libsqlite3-0:amd64 3.7.13-1+deb7u1
2014-10-15 07:57:24 configure iproute:amd64 20120521-3+b3 <none>
2014-10-15 07:57:24 status unpacked iproute:amd64 20120521-3+b3
2014-10-15 07:57:24 status unpacked iproute:amd64 20120521-3+b3
2014-10-15 07:57:24 status unpacked iproute:amd64 20120521-3+b3
2014-10-15 07:57:24 status unpacked iproute:amd64 20120521-3+b3
2014-10-15 07:57:24 status unpacked iproute:amd64 20120521-3+b3
2014-10-15 07:57:24 status unpacked iproute:amd64 20120521-3+b3
2014-10-15 07:57:24 status unpacked iproute:amd64 20120521-3+b3
2014-10-15 07:57:24 status unpacked iproute:amd64 20120521-3+b3
2014-10-15 07:57:24 status half-configured iproute:amd64 20120521-3+b3
2014-10-15 07:57:24 status installed iproute:amd64 20120521-3+b3
2014-10-15 07:57:24 configure libidn11:amd64 1.25-2 <none>
2014-10-15 07:57:24 status unpacked libidn11:amd64 1.25-2
2014-10-15 07:57:24 status half-configured libidn11:amd64 1.25-2
2014-10-15 07:57:24 status installed libidn11:amd64 1.25-2
2014-10-15 07:57:24 configure libnewt0.52:amd64 0.52.14-11.1 <none>
2014-10-15 07:57:24 status unpacked libnewt0.52:amd64 0.52.14-11.1
2014-10-15 07:57:24 status half-configured libnewt0.52:amd64 0.52.14-11.1
2014-10-15 07:57:24 status installed libnewt0.52:amd64 0.52.14-11.1
2014-10-15 07:57:24 configure net-tools:amd64 1.60-24.2 <none>
2014-10-15 07:57:24 status unpacked net-tools:amd64 1.60-24.2
2014-10-15 07:57:24 status half-configured net-tools:amd64 1.60-24.2
2014-10-15 07:57:24 status installed net-tools:amd64 1.60-24.2
2014-10-15 07:57:24 configure libpipeline1:amd64 1.2.1-1 <none>
2014-10-15 07:57:24 status unpacked libpipeline1:amd64 1.2.1-1
2014-10-15 07:57:24 status half-configured libpipeline1:amd64 1.2.1-1
2014-10-15 07:57:24 status installed libpipeline1:amd64 1.2.1-1
2014-10-15 07:57:24 configure bsdmainutils:amd64 9.0.3 <none>
2014-10-15 07:57:24 status unpacked bsdmainutils:amd64 9.0.3
2014-10-15 07:57:24 status unpacked bsdmainutils:amd64 9.0.3
2014-10-15 07:57:24 status unpacked bsdmainutils:amd64 9.0.3
2014-10-15 07:57:24 status unpacked bsdmainutils:amd64 9.0.3
2014-10-15 07:57:24 status half-configured bsdmainutils:amd64 9.0.3
2014-10-15 07:57:24 status installed bsdmainutils:amd64 9.0.3
2014-10-15 07:57:24 configure netcat-traditional:amd64 1.10-40 <none>
2014-10-15 07:57:24 status unpacked netcat-traditional:amd64 1.10-40
2014-10-15 07:57:24 status half-configured netcat-traditional:amd64 1.10-40
2014-10-15 07:57:24 status installed netcat-traditional:amd64 1.10-40
2014-10-15 07:57:24 configure debian-archive-keyring:all 2012.4 <none>
2014-10-15 07:57:24 status unpacked debian-archive-keyring:all 2012.4
2014-10-15 07:57:24 status unpacked debian-archive-keyring:all 2012.4
2014-10-15 07:57:24 status unpacked debian-archive-keyring:all 2012.4
2014-10-15 07:57:24 status unpacked debian-archive-keyring:all 2012.4
2014-10-15 07:57:24 status unpacked debian-archive-keyring:all 2012.4
2014-10-15 07:57:24 status half-configured debian-archive-keyring:all 2012.4
2014-10-15 07:57:24 status installed debian-archive-keyring:all 2012.4
2014-10-15 07:57:24 configure libncursesw5:amd64 5.9-10 <none>
2014-10-15 07:57:24 status unpacked libncursesw5:amd64 5.9-10
2014-10-15 07:57:24 status half-configured libncursesw5:amd64 5.9-10
2014-10-15 07:57:24 status installed libncursesw5:amd64 5.9-10
2014-10-15 07:57:24 configure info:amd64 4.13a.dfsg.1-10 <none>
2014-10-15 07:57:24 status unpacked info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:24 status half-configured info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:24 status installed info:amd64 4.13a.dfsg.1-10
2014-10-15 07:57:24 configure iputils-ping:amd64 3:20101006-1+b1 <none>
2014-10-15 07:57:24 status unpacked iputils-ping:amd64 3:20101006-1+b1
2014-10-15 07:57:24 status half-configured iputils-ping:amd64 3:20101006-1+b1
2014-10-15 07:57:24 status installed iputils-ping:amd64 3:20101006-1+b1
2014-10-15 07:57:24 configure aptitude-common:all 0.6.8.2-1 <none>
2014-10-15 07:57:24 status unpacked aptitude-common:all 0.6.8.2-1
2014-10-15 07:57:24 status half-configured aptitude-common:all 0.6.8.2-1
2014-10-15 07:57:24 status installed aptitude-common:all 0.6.8.2-1
2014-10-15 07:57:24 configure cron:amd64 3.0pl1-124 <none>
2014-10-15 07:57:24 status unpacked cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status unpacked cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status unpacked cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status unpacked cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status unpacked cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status unpacked cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status unpacked cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status unpacked cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status unpacked cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status unpacked cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status half-configured cron:amd64 3.0pl1-124
2014-10-15 07:57:24 status installed cron:amd64 3.0pl1-124
2014-10-15 07:57:24 configure nano:amd64 2.2.6-1+b1 <none>
2014-10-15 07:57:24 status unpacked nano:amd64 2.2.6-1+b1
2014-10-15 07:57:24 status unpacked nano:amd64 2.2.6-1+b1
2014-10-15 07:57:24 status half-configured nano:amd64 2.2.6-1+b1
2014-10-15 07:57:24 status installed nano:amd64 2.2.6-1+b1
2014-10-15 07:57:24 configure libp11-kit0:amd64 0.12-3 <none>
2014-10-15 07:57:24 status unpacked libp11-kit0:amd64 0.12-3
2014-10-15 07:57:24 status half-configured libp11-kit0:amd64 0.12-3
2014-10-15 07:57:24 status installed libp11-kit0:amd64 0.12-3
2014-10-15 07:57:24 configure rsyslog:amd64 5.8.11-3 <none>
2014-10-15 07:57:24 status unpacked rsyslog:amd64 5.8.11-3
2014-10-15 07:57:24 status unpacked rsyslog:amd64 5.8.11-3
2014-10-15 07:57:24 status unpacked rsyslog:amd64 5.8.11-3
2014-10-15 07:57:24 status unpacked rsyslog:amd64 5.8.11-3
2014-10-15 07:57:24 status unpacked rsyslog:amd64 5.8.11-3
2014-10-15 07:57:24 status unpacked rsyslog:amd64 5.8.11-3
2014-10-15 07:57:24 status half-configured rsyslog:amd64 5.8.11-3
2014-10-15 07:57:24 status installed rsyslog:amd64 5.8.11-3
2014-10-15 07:57:24 configure cpio:amd64 2.11+dfsg-0.1 <none>
2014-10-15 07:57:24 status unpacked cpio:amd64 2.11+dfsg-0.1
2014-10-15 07:57:24 status half-configured cpio:amd64 2.11+dfsg-0.1
2014-10-15 07:57:24 status installed cpio:amd64 2.11+dfsg-0.1
2014-10-15 07:57:24 configure libstdc++6:amd64 4.7.2-5 <none>
2014-10-15 07:57:24 status unpacked libstdc++6:amd64 4.7.2-5
2014-10-15 07:57:24 status half-configured libstdc++6:amd64 4.7.2-5
2014-10-15 07:57:24 status installed libstdc++6:amd64 4.7.2-5
2014-10-15 07:57:24 configure isc-dhcp-client:amd64 4.2.2.dfsg.1-5+deb70u6 <none>
2014-10-15 07:57:24 status unpacked isc-dhcp-client:amd64 4.2.2.dfsg.1-5+deb70u6
2014-10-15 07:57:24 status unpacked isc-dhcp-client:amd64 4.2.2.dfsg.1-5+deb70u6
2014-10-15 07:57:24 status unpacked isc-dhcp-client:amd64 4.2.2.dfsg.1-5+deb70u6
2014-10-15 07:57:24 status unpacked isc-dhcp-client:amd64 4.2.2.dfsg.1-5+deb70u6
2014-10-15 07:57:24 status unpacked isc-dhcp-client:amd64 4.2.2.dfsg.1-5+deb70u6
2014-10-15 07:57:24 status half-configured isc-dhcp-client:amd64 4.2.2.dfsg.1-5+deb70u6
2014-10-15 07:57:24 status installed isc-dhcp-client:amd64 4.2.2.dfsg.1-5+deb70u6
2014-10-15 07:57:24 configure vim-tiny:amd64 2:7.3.547-7 <none>
2014-10-15 07:57:24 status unpacked vim-tiny:amd64 2:7.3.547-7
2014-10-15 07:57:24 status unpacked vim-tiny:amd64 2:7.3.547-7
2014-10-15 07:57:24 status half-configured vim-tiny:amd64 2:7.3.547-7
2014-10-15 07:57:25 status installed vim-tiny:amd64 2:7.3.547-7
2014-10-15 07:57:25 configure readline-common:all 6.2+dfsg-0.1 <none>
2014-10-15 07:57:25 status unpacked readline-common:all 6.2+dfsg-0.1
2014-10-15 07:57:25 status half-configured readline-common:all 6.2+dfsg-0.1
2014-10-15 07:57:25 status installed readline-common:all 6.2+dfsg-0.1
2014-10-15 07:57:25 configure libnfnetlink0:amd64 1.0.0-1.1 <none>
2014-10-15 07:57:25 status unpacked libnfnetlink0:amd64 1.0.0-1.1
2014-10-15 07:57:25 status half-configured libnfnetlink0:amd64 1.0.0-1.1
2014-10-15 07:57:25 status installed libnfnetlink0:amd64 1.0.0-1.1
2014-10-15 07:57:25 configure libgcrypt11:amd64 1.5.0-5+deb7u1 <none>
2014-10-15 07:57:25 status unpacked libgcrypt11:amd64 1.5.0-5+deb7u1
2014-10-15 07:57:25 status half-configured libgcrypt11:amd64 1.5.0-5+deb7u1
2014-10-15 07:57:25 status installed libgcrypt11:amd64 1.5.0-5+deb7u1
2014-10-15 07:57:25 configure procps:amd64 1:3.3.3-3 <none>
2014-10-15 07:57:25 status unpacked procps:amd64 1:3.3.3-3
2014-10-15 07:57:25 status unpacked procps:amd64 1:3.3.3-3
2014-10-15 07:57:25 status unpacked procps:amd64 1:3.3.3-3
2014-10-15 07:57:25 status unpacked procps:amd64 1:3.3.3-3
2014-10-15 07:57:25 status half-configured procps:amd64 1:3.3.3-3
2014-10-15 07:57:25 status installed procps:amd64 1:3.3.3-3
2014-10-15 07:57:25 configure libxapian22:amd64 1.2.12-2 <none>
2014-10-15 07:57:25 status unpacked libxapian22:amd64 1.2.12-2
2014-10-15 07:57:25 status half-configured libxapian22:amd64 1.2.12-2
2014-10-15 07:57:25 status installed libxapian22:amd64 1.2.12-2
2014-10-15 07:57:25 configure whiptail:amd64 0.52.14-11.1 <none>
2014-10-15 07:57:25 status unpacked whiptail:amd64 0.52.14-11.1
2014-10-15 07:57:25 status half-configured whiptail:amd64 0.52.14-11.1
2014-10-15 07:57:25 status installed whiptail:amd64 0.52.14-11.1
2014-10-15 07:57:25 configure ifupdown:amd64 0.7.8 <none>
2014-10-15 07:57:25 status unpacked ifupdown:amd64 0.7.8
2014-10-15 07:57:25 status unpacked ifupdown:amd64 0.7.8
2014-10-15 07:57:25 status unpacked ifupdown:amd64 0.7.8
2014-10-15 07:57:25 status unpacked ifupdown:amd64 0.7.8
2014-10-15 07:57:25 status unpacked ifupdown:amd64 0.7.8
